#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 04  1.1  0.10 15.2  15.2
2020 06 04  1.1  0.10 15.2  15.2
2020 06 04  1.0  0.09 15.1  15.2
2020 06 04  1.0  0.09 14.9  15.1
2020 06 04  0.6  0.10 15.1  15.1
2020 06 04  0.7  0.10 14.9  15.1
2020 06 04  0.4  0.11 15.0  15.1
2020 06 05  0.5  0.10 15.0  15.1
2020 06 05  1.2  0.11 14.8  15.0
2020 06 05  0.9  0.11 14.8  14.9
2020 06 05  0.4  0.11 14.9  14.9
2020 06 05  0.8  0.12 14.9  14.9
2020 06 05  0.8  0.12 14.9  14.8
2020 06 05  0.6  0.12 15.1  14.8
2020 06 05  0.1  0.12 15.2  14.8
2020 06 05  0.5  0.11 15.3  14.9
2020 06 05  0.9  0.12 15.1  14.9
2020 06 05  1.0  0.11 15.0  14.8
2020 06 05  1.0  0.12 15.0  14.8
2020 06 05  1.0  0.11 14.9  14.9
2020 06 05  0.3  0.11 14.9  15.0
2020 06 05  0.0  0.13 14.8  15.1
2020 06 05  0.1  0.14 14.8  15.2
2020 06 05  0.2  0.12 14.8  15.3
2020 06 05  0.4  0.10 14.8  15.2
2020 06 05  0.5  0.11 14.9  15.2
2020 06 05  0.1  0.09 14.9  15.1
2020 06 05  0.0  0.11 14.9  15.1
2020 06 05  0.0  0.09 14.8  15.1
2020 06 05  0.0  0.10 14.9  15.1
2020 06 05  0.0  0.10 15.0  15.2
